Date,Description,Amount,Category,Account Name,Transaction Type
01/01/2023,Grocery Shopping,-1140,Entertainment,Credit Card,Withdrawal
02/01/2023,Clothing Purchase,3390,Utilities,Credit Card,Deposit
03/01/2023,Monthly Rent,3226,Utilities,Credit Card,Deposit
04/01/2023,Movies,3191,Salary,Checking Account,Deposit
05/01/2023,Doctor Visit,1772,Shopping,Savings Account,Deposit
06/01/2023,Stock Investment,1092,Utilities,Credit Card,Deposit
07/01/2023,Grocery Shopping,3734,Rent,Savings Account,Deposit
08/01/2023,Monthly Rent,-1534,Investment,Savings Account,Withdrawal
09/01/2023,Movies,3334,Food,Credit Card,Deposit
10/01/2023,Salary Payment,2426,Shopping,Credit Card,Deposit
11/01/2023,Doctor Visit,3578,Rent,Savings Account,Deposit
12/01/2023,Grocery Shopping,1444,Transportation,Credit Card,Deposit
13/01/2023,Bus Fare,1171,Utilities,Savings Account,Deposit
14/01/2023,Salary Payment,919,Utilities,Savings Account,Deposit
15/01/2023,Monthly Rent,-1870,Entertainment,Credit Card,Withdrawal
16/01/2023,Grocery Shopping,-315,Rent,Checking Account,Withdrawal
17/01/2023,Salary Payment,-1231,Entertainment,Credit Card,Withdrawal
18/01/2023,Doctor Visit,391,Salary,Checking Account,Deposit
19/01/2023,Bus Fare,3611,Entertainment,Savings Account,Deposit
20/01/2023,Salary Payment,433,Salary,Savings Account,Deposit
21/01/2023,Electricity Bill,3311,Salary,Checking Account,Deposit
22/01/2023,Bus Fare,3051,Utilities,Savings Account,Deposit
23/01/2023,Monthly Rent,-816,Transportation,Checking Account,Withdrawal
24/01/2023,Doctor Visit,2555,Entertainment,Checking Account,Deposit
25/01/2023,Stock Investment,1385,Rent,Savings Account,Deposit
26/01/2023,Stock Investment,2117,Salary,Checking Account,Deposit
27/01/2023,Stock Investment,2843,Utilities,Credit Card,Deposit
28/01/2023,Grocery Shopping,904,Food,Credit Card,Deposit
29/01/2023,Monthly Rent,-1526,Shopping,Savings Account,Withdrawal
30/01/2023,Doctor Visit,-918,Transportation,Savings Account,Withdrawal
31/01/2023,Bus Fare,558,Healthcare,Checking Account,Deposit
01/02/2023,Grocery Shopping,47,Food,Checking Account,Deposit
02/02/2023,Monthly Rent,747,Shopping,Checking Account,Deposit
03/02/2023,Electricity Bill,-1025,Food,Checking Account,Withdrawal
04/02/2023,Doctor Visit,-194,Entertainment,Credit Card,Withdrawal
05/02/2023,Stock Investment,-1811,Salary,Credit Card,Withdrawal
06/02/2023,Salary Payment,734,Transportation,Savings Account,Deposit
07/02/2023,Doctor Visit,1005,Investment,Checking Account,Deposit
08/02/2023,Clothing Purchase,2658,Salary,Checking Account,Deposit
09/02/2023,Monthly Rent,-101,Investment,Savings Account,Withdrawal
10/02/2023,Movies,-733,Shopping,Checking Account,Withdrawal
11/02/2023,Electricity Bill,-472,Utilities,Checking Account,Withdrawal
12/02/2023,Doctor Visit,1202,Healthcare,Checking Account,Deposit
13/02/2023,Movies,1556,Rent,Checking Account,Deposit
14/02/2023,Clothing Purchase,1890,Salary,Checking Account,Deposit
15/02/2023,Bus Fare,-1354,Transportation,Savings Account,Withdrawal
16/02/2023,Salary Payment,888,Food,Checking Account,Deposit
17/02/2023,Movies,3393,Transportation,Savings Account,Deposit
18/02/2023,Monthly Rent,435,Shopping,Checking Account,Deposit
19/02/2023,Stock Investment,-1400,Investment,Credit Card,Withdrawal
20/02/2023,Clothing Purchase,363,Food,Credit Card,Deposit
21/02/2023,Salary Payment,61,Rent,Credit Card,Deposit
22/02/2023,Electricity Bill,-1759,Rent,Credit Card,Withdrawal
23/02/2023,Stock Investment,41,Salary,Savings Account,Deposit
24/02/2023,Doctor Visit,824,Shopping,Savings Account,Deposit
25/02/2023,Movies,612,Utilities,Checking Account,Deposit
26/02/2023,Salary Payment,-637,Shopping,Credit Card,Withdrawal
27/02/2023,Grocery Shopping,3486,Investment,Savings Account,Deposit
28/02/2023,Bus Fare,-522,Transportation,Checking Account,Withdrawal
01/03/2023,Bus Fare,556,Rent,Checking Account,Deposit
